amount,code,mktCap,remark,industry,priceLimit,priceHighLimit,qrr,price,daily,name,turnoverRate,id,ffCap,limitStatistic,isNewHigh
[186168987, 600493, 1.84416E9, 近期多次涨停, 纺织服装, 10.064934730529785, 6.78, 0.703879714012146, 6.78, 2022-12-07, 凤竹纺织, 10.478453636169434, 4389, 1.84416E9, {"ct":2,"days":4}, false]
[187774150, 603648, 3.56976608E9, 60日新高, 物流行业, 2.390852451324463, 10.58, 2.4087841510772705, 9.85, 2022-12-07, 畅联股份, 5.237590789794922, 4390, 3.56976608E9, {"ct":0,"days":0}, true]
[190689534, 002320, 1.228142184384E10, 60日新高, 航运港口, 4.158790111541748, 5.82, 3.504990339279175, 5.51, 2022-12-07, 海峡股份, 1.5637675523757935, 4391, 1.2281421860369999E10, {"ct":0,"days":0}, true]
[193366177, 603889, 4.2730823063999996E9, 60日新高, 纺织服装, 10.013175010681152, 8.35, 2.775617837905884, 8.35, 2022-12-07, 新澳股份, 4.648809432983398, 4392, 4.2730823397999997E9, {"ct":1,"days":1}, true]
[195012323, 002775, 2.30232408144E9, 60日新高, 工程建设, -2.8138527870178223, 5.08, 1.7046549320220947, 4.49, 2022-12-07, 文科园林, 9.690930366516113, 4393, 1.99124923497E9, {"ct":1,"days":2}, true]
[196691395, 605337, 7.002656639999999E9, 60日新高, 食品饮料, 4.339963912963867, 24.33, 1.197792410850525, 23.08, 2022-12-07, 李子园, 7.389883518218994, 4394, 2.74018297056E9, {"ct":0,"days":0}, true]
[199918273, 300365, 6.45444487872E9, 60日新高, 软件开发, -2.536231756210327, 13.25, 1.292452335357666, 10.76, 2022-12-07, 恒华科技, 4.179844379425049, 4395, 4.67619328504E9, {"ct":0,"days":0}, true]
[202386142, 300551, 4.57431144912E9, 60日新高, 计算机设, 0.9153317809104919, 15.73, 0.9843919277191162, 13.23, 2022-12-07, 古鳌科技, 6.455784797668457, 4396, 3.11800219857E9, {"ct":0,"days":0}, true]
[202791412, 600125, 7.72868948224E9, 60日新高, 物流行业, -0.1686340719461441, 6.52, 1.1320255994796753, 5.92, 2022-12-07, 铁龙物流, 2.5923643112182617, 4397, 7.72868949408E9, {"ct":0,"days":0}, true]
[204375055, 603867, 6.324199699999999E9, 60日新高, 化学制品, 1.4792900085449219, 37.18, 1.2395851612091064, 34.3, 2022-12-07, 新化股份, 3.2307584285736084, 4398, 6.304134199999999E9, {"ct":0,"days":0}, true]
